2022-04-04 15:01:32,948 - INFO - mtx_name: 162_dwt_162.mtx, num_nodes: 162, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 51, greedy_result:87, abc_result: 81, greedy_time:0.0010256767272949219
2022-04-04 15:04:44,416 - INFO - mtx_name: 822_bp_600.mtx, num_nodes: 822, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:411, abc_result: 411, greedy_time:0.04288339614868164
2022-04-04 15:05:08,597 - INFO - mtx_name: 96_can_96.mtx, num_nodes: 96, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 96, greedy_result:96, abc_result: 96, greedy_time:0.0
2022-04-04 15:27:08,409 - INFO - mtx_name: 113_gent113.mtx, num_nodes: 113, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 4, greedy_result:38, abc_result: 38, greedy_time:0.0012118816375732422
2022-04-04 15:27:52,331 - INFO - mtx_name: 138_bcsstk22.mtx, num_nodes: 138, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 26, greedy_result:47, abc_result: 47, greedy_time:0.0010199546813964844
2022-04-04 15:28:45,991 - INFO - mtx_name: 144_can_144.mtx, num_nodes: 144, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 109, greedy_result:109, abc_result: 109, greedy_time:0.0010309219360351562
2022-04-04 15:29:18,626 - INFO - mtx_name: 153_bcsstk05.mtx, num_nodes: 153, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 59, greedy_result:67, abc_result: 64, greedy_time:0.0009975433349609375
2022-04-04 15:29:59,760 - INFO - mtx_name: 161_can_161.mtx, num_nodes: 161, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 113, greedy_result:113, abc_result: 113, greedy_time:0.0009911060333251953
2022-04-04 15:30:43,474 - INFO - mtx_name: 162_dwt_162.mtx, num_nodes: 162, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 51, greedy_result:62, abc_result: 59, greedy_time:0.0
2022-04-04 15:33:35,495 - INFO - mtx_name: 822_bp_600.mtx, num_nodes: 822, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:274, abc_result: 274, greedy_time:0.028922557830810547
